Date : 2025-04-21 14:23:36
Directory : d:\Project\STM\Car_F4\Car_F427\EIDE
Total : 1268 files,  670076 codes, 310411 comments, 114551 blanks, all 1095038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        581 |    459,368 |    163,709 |     66,089 |    689,166 |
| C                  |        541 |    172,922 |    130,232 |     43,445 |    346,599 |
| ARM                |        125 |     35,924 |     16,354 |      4,890 |     57,168 |
| Ini                |         14 |      1,252 |         94 |        107 |      1,453 |
| JSON               |          1 |        461 |          0 |          0 |        461 |
| HTML               |          2 |        111 |          0 |          4 |        115 |
| YAML               |          2 |         23 |         22 |         15 |         60 |
| JSON with Comments |          1 |          9 |          0 |          0 |          9 |
| XML                |          1 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                       |      1,268 |    670,076 |    310,411 |    114,551 |  1,095,038 |
| . (Files)                                                                                                                                                                               |          3 |         30 |         12 |         15 |         57 |
| .cmsis                                                                                                                                                                                  |         30 |     29,778 |     12,806 |     10,945 |     53,529 |
| .cmsis\include                                                                                                                                                                          |         30 |     29,778 |     12,806 |     10,945 |     53,529 |
| .eide                                                                                                                                                                                   |          3 |        468 |         13 |          4 |        485 |
| .pack                                                                                                                                                                                   |      1,232 |    639,800 |    297,580 |    103,587 |  1,040,967 |
| .pack\Keil                                                                                                                                                                              |      1,232 |    639,800 |    297,580 |    103,587 |  1,040,967 |
| .pack\Keil\STM32F4xx_DFP.2.14.0                                                                                                                                                         |      1,232 |    639,800 |    297,580 |    103,587 |  1,040,967 |
| .pack\Keil\STM32F4xx_DFP.2.14.0 (Files)                                                                                                                                                 |          1 |          6 |          0 |          1 |          7 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS                                                                                                                                                   |         30 |     22,451 |      5,892 |      3,563 |     31,906 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS\Debug                                                                                                                                             |          6 |        964 |         87 |         83 |      1,134 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS\Driver                                                                                                                                            |         21 |     20,846 |      5,624 |      3,340 |     29,810 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS\Driver (Files)                                                                                                                                    |         20 |     19,092 |      4,904 |      3,120 |     27,116 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS\Driver\Config                                                                                                                                     |          1 |      1,754 |        720 |        220 |      2,694 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS\Flash                                                                                                                                             |          3 |        641 |        181 |        140 |        962 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS\Flash (Files)                                                                                                                                     |          1 |         43 |         30 |         12 |         85 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\CMSIS\Flash\STM32F4xx                                                                                                                                   |          2 |        598 |        151 |        128 |        877 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers                                                                                                                                                 |        514 |    446,693 |    189,981 |     66,260 |    702,934 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP                                                                                                                                             |        229 |     46,473 |     45,502 |     14,580 |    106,555 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Adafruit_Shield                                                                                                                             |          4 |      1,270 |        931 |        349 |      2,550 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components                                                                                                                                  |         57 |     11,607 |     10,334 |      3,169 |     25,110 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\Common                                                                                                                           |         11 |        406 |        840 |        213 |      1,459 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ampire480272                                                                                                                     |          1 |         18 |         85 |         19 |        122 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ampire640480                                                                                                                     |          1 |         18 |         85 |         19 |        122 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\cs43l22                                                                                                                          |          2 |        275 |        335 |        111 |        721 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\exc7200                                                                                                                          |          2 |         84 |        230 |         67 |        381 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ft6x06                                                                                                                           |          2 |        318 |        481 |        188 |        987 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ili9325                                                                                                                          |          2 |        335 |        333 |        108 |        776 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ili9341                                                                                                                          |          2 |        280 |        255 |         62 |        597 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\l3gd20                                                                                                                           |          2 |        262 |        366 |        114 |        742 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\lis302dl                                                                                                                         |          2 |        257 |        747 |        141 |      1,145 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\lis3dsh                                                                                                                          |          2 |        349 |      1,161 |        178 |      1,688 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\ls016b8uy                                                                                                                        |          2 |        391 |        345 |        116 |        852 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\lsm303dlhc                                                                                                                       |          2 |        398 |        524 |        156 |      1,078 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\mfxstm32l152                                                                                                                     |          2 |        988 |        932 |        334 |      2,254 |
| .pack\Keil\STM32F4xx_DFP.2.14.0\Drivers\BSP\Components\n25q128a                                                                                                                         |          1 |         83 |         97 |         40 |        220 |
